Men's RS Team Jersey ZAP,UCJ14M_SS.S1.FF_M02,CJ14M-SSS1FF-M02,J14SZF20M,Sugoi,CCN,341,143,113,94,80,75,73,72,6110300081,300,131,103,84,73,68,66,52,6110303053,21.98
Women's RS Team Jersey,UCJ15F_SS.SP.FF_VAV,CJ15F-SSSPFF-VAV,J15SPF10F,Sugoi,CCN,336,138,108,89,75,70,68,67,6110300082,295,125.25,97.75,78.25,67.75,63,60.75,47,6110303059,19.98
Women's RS Team Jersey ZAP,UCJ15F_SS.S1.FF_M02,CJ15F-SSS1FF-M02,J15SZF20F,Sugoi,CCN,341,143,113,94,80,75,73,72,6110300082,300,130.25,102.75,83.25,72.75,68,65.75,52,6110303059,21.98
Elite Jersey,UCJ16U_SS.SP.FF_M09,CJ16U-SSSPFF-M09,J16SPF12U,Sugoi,PNR, null ,179,140,117,108,100,95,90,6110300081, null ,162,127,102,90,83,79,76,6110303053,
Women's RS Climbers Jersey,UCJ17F_SS.SP.FF_M13,CJ17F-SSSPFF-M13,J17SPF12F,Sugoi,PNR,325,180,145,120,105,97,92,88,6110300082,320,154,120,105,90,80,75,72,6110303059,
Men's RS Climbers Jersey,UCJ17M_SS.SP.FF_M13,CJ17M-SSSPFF-M13,J17SPF12M,Sugoi,PNR,325,180,145,120,105,97,92,88,6110300081,320,154,120,105,90,80,75,72,6110303059,
Women's RS Pro Jersey,UCJ18F_SS.BA.FF_M14,CJ18F-SSBAFF-M14,J18FSAF10,Sugoi,CCN,250,155,120,105,95,85,80,75,6110300082,245,125,100,85,75,70,65,62,6110303059,25.81
Women's RS Pro Jersey ZAP,UCJ18F_SS.X1.FF_M15,CJ18F-SSX1FF-M15,J18FSZF10,Sugoi,CCN,255,160,125,110,100,90,85,80,6110300082,250,130,105,90,80,75,70,67,6110303059,27.81
Men's RS Pro Jersey,UCJ18M_SS.BA.FF_M14,CJ18M-SSBAFF-M14,J18MSAF10,Sugoi,CCN,250,155,120,105,95,85,80,75,6110300081,245,125,100,85,75,70,65,62,6110303059,26.42
Men's RS Pro Jersey ZAP,UCJ18M_SS.X1.FF_M15,CJ18M-SSX1FF-M15,J18MSZF10,Sugoi,CCN,255,160,125,110,100,90,85,80,6110300081,250,130,105,90,80,75,70,67,6110303059,27.81
